"Copyright © 2017 BRTDATA.ORG - Downloaded on 2017/11/05";"";"";"";"";""
"";"";"";"";"";""
"Worldwide - Key Indicators per Region";"";"";"";"";""
"Regions";"Passengers per Day";"Number of Cities";"Length (km)";"";""
"Peak frequency, corridor (buses per hour per direction)";"Travel time";"6";"2015";"http://myciti.org.za/en/timetables/route-stop-timetables/?timetable%5Bweekday%5D=friday&timetable%5Broute_id%5D=1003&timetable%5Bdirection%5D=0";""
"Operating speed, corridor";"Travel time";"";"";"";""
"Express services";"Travel time";"Yes";"2016";"http://myciti.org.za/en/routes/interactive-routes/";""
"Speed limit (km/h)";"Travel time";"";"";"";""
"Real time information, corridor";"Comfort";"All";"2015";"MyCiti";""
"Physically integrated feeders";"Comfort";"";"";"";""
"Total cost per kilometer, corridor (US$ million per km)";"Cost";"";"";"";""
"Planning cost, corridor (US$ million)";"Cost";"";"";"";""
"Infrastructure cost per kilometer, corridor (US$ million per km)";"Cost";"";"";"";""
"User rating, corridor";"Quality of service";"";"";"";""
"Corridor annual fatalities";"Road Safety";"";"";"";""
"";"";"";"";"";""
"Cape Town - Corridor Indicators - T04";"";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source";""
"Corridor Name";"Corridor info";"T04";"";"MyCiti";""
"Year corridor commenced";"Corridor info";"2015";"";"http://www.capetown.gov.za/en/irt/Pages/default.aspx";""
"Corridor service";"Corridor info";"Trunk lines with feeder routes";"2015";"MyCiti";""
"Peak load, corridor (passengers per hour per direction)";"Corridor info";"";"";"";""
"Daily demand, corridor (passengers per day)";"Corridor info";"";"";"";""
"Trunk lines, corridor";"Corridor info";"2";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Corridor length (km)";"Running ways";"7,32";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Length of segregated lanes, corridor (km)";"Running ways";"";"";"";""
"Length of segregated counterflow lanes, corridor (km)";"Running ways";"";"";"";""
"Length of exclusive lanes, corridor (km)";"Running ways";"";"";"";""
"Mixed traffic with-flow length, corridor (km)";"Running ways";"";"";"";""
"Position of with-flow lanes, corridor";"Running ways";"Median";"2017";"Google Maps";""
"Position of counterflow lanes, corridor";"Running ways";"";"";"";""
"Position of bus doors, corridor";"Running ways";"Left & Right";"2017";"MyCiti";""
"Lane material on running ways, corridor";"Running ways";"Asphalt";"2017";"Google Maps";""
"Lane material at stations, corridor";"Running ways";"";"";"";""
"Grade-separated intersections, corridor";"Traffic engineering";"None";"";"";""
"Fixed signal priority";"Traffic engineering";"";"";"";""
"Dynamic signal priority";"Traffic engineering";"";"";"";""
"Stations, corridor";"Stations";"6";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Station spacing, corridor (m)";"Stations";"1220,0";"";"Calculated using corridor length and stations";""
"Enhanced stations";"Stations";"Yes";"2017";"http://myciti.org.za/en/stations-stops/about-stations-stops/";""
"Pre-board fare collection, corridor";"Stations";"All";"2017";"https://myciti.org.za";""
"Overtaking lanes, corridor";"Stations";"";"";"";""
"Station boarding level, corridor";"Stations";"High-level platform";"2017";"https://myciti.org.za/en/stations-stops/station-stop-information";""
"Type of bus guidance";"ITS";"";"";"";""
